model,group,accuracy,accuracy_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,auc_macro,auc_macro_std
mrmr_knn_nested,mrmr,0.6571428571428571,0.01187474537025357,0.6689506632035722,0.011031688713628742,0.6564374664027698,0.012647774513295705,0.6802370507236797,0.011611489838591,0.6674043747580333,0.011219992935427546,0.8900742699366375,0.009172221484310251
mrmr_lasso_nested,mrmr,0.6940092165898617,,0.7043719877056727,,0.6931381846849731,,0.707807220099787,,0.7052165496810247,,0.895784712355568,
mrmr_neural_network_nested,mrmr,0.6829493087557603,0.025139505432231996,0.6926658733726481,0.024012441120715308,0.6809279540821229,0.023538294228168933,0.693347950950067,0.021692552566188548,0.6953770220000337,0.027879304202210603,0.9058792358035619,0.008118550009867416
mrmr_random_forest_nested,mrmr,0.6838709677419355,0.01714384814538087,0.6898787543223202,0.018878764854629467,0.6814557819547289,0.018275014146072226,0.6960971882376781,0.02185870098070191,0.6916596306956859,0.017586125273820287,0.9043950569717764,0.0029149748559503877
mrmr_svm_nested,mrmr,0.736405529953917,0.024280073497363126,0.7449778158869799,0.023828940416116592,0.7337151082713496,0.024300810795108974,0.7465972256438951,0.022333112166295604,0.7478683448635728,0.024883186678835743,0.932344117504346,0.005518922554507728
mrmr_xgboost_nested,mrmr,0.736405529953917,,0.7445904173502129,,0.7351335280947013,,0.7483312402587712,,0.7458703395108486,,0.9319007199069098,
