taxon_id,disease,p_value,auc_effect,effect_direction
2111,D015212,3.72461240770321e-26,0.22316666666666674,increased
1691891,D015212,1.016738493373436e-24,0.21653333333333347,increased
322095,D015212,2.9026953325894044e-23,0.2096,increased
158847,D015212,7.941505869091535e-22,0.20252666666666652,increased
34059,D015212,1.386031127507249e-20,0.19621333333333335,increased
1095771,D015212,2.074719410113653e-20,0.19530666666666674,increased
89524,D015212,9.238009691055722e-20,0.19191333333333338,increased
1282,D015212,1.417654685936553e-16,0.17431333333333343,increased
28131,D015212,1.6836381478551692e-16,0.17388000000000003,increased
228603,D015212,2.669360438443383e-16,0.17271333333333327,increased
371601,D015212,6.777345274994933e-15,0.1643,increased
166486,D015212,7.844074842218764e-05,0.0833066666666667,decreased
584,D015212,0.00013681644330616128,0.08045333333333338,decreased
1226322,D015212,0.00015740225750086702,0.07972000000000007,decreased
29385,D015212,0.0004229745592408381,0.07436666666666669,decreased
1308,D015212,0.0004740987280844452,0.07372666666666666,decreased
849,D015212,0.0009200643962756725,0.06990666666666667,decreased
40518,D015212,0.0010852587884898938,0.06892666666666669,decreased
122355,D015212,0.0012635107786201714,0.06801333333333331,decreased
2173,D015212,0.001872532083424065,0.06560000000000005,decreased
237258,D015212,0.0018805611726216947,0.06557333333333337,decreased
216816,D015212,0.002488583969421935,0.06380666666666668,decreased
1683,D015212,0.002527866783493499,0.06370666666666669,decreased
74426,D015212,0.0027642447351932968,0.06313333333333332,decreased
39490,D015212,0.0029017991116677437,0.06281999999999999,decreased
1531,D015212,0.00648942199311313,0.05741999999999997,decreased
188913,D015212,0.008149660156765182,0.05581333333333338,decreased
328813,D015212,0.008755110509165257,0.055300000000000016,decreased
