mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0020194053649902344,0.0006627331840326064,0.03484134674072266,0.009748588990352627,auto,euclidean,3,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.5458333333333333,0.5625,0.49583333333333335,0.5291666666666667,0.5208333333333334,0.5308333333333334,0.022607766610417544,496
0.0039015293121337892,0.0015980941038254435,0.014942693710327148,0.00423803338856655,auto,euclidean,3,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.5583333333333333,0.5541666666666667,0.525,0.5708333333333333,0.5416666666666666,0.55,0.015590239111558081,327
0.0010182857513427734,0.00018053756323402456,0.008009910583496094,0.003201956290938826,auto,euclidean,3,2,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.5458333333333333,0.5625,0.49583333333333335,0.5291666666666667,0.5208333333333334,0.5308333333333334,0.022607766610417544,496
0.001256561279296875,0.0008701338207747438,0.0017677783966064454,0.0006541413107633673,auto,euclidean,3,2,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.5583333333333333,0.5541666666666667,0.525,0.5708333333333333,0.5416666666666666,0.55,0.015590239111558081,327
0.00036683082580566404,0.00012771356701545437,0.0036191940307617188,0.00039245731722864464,auto,euclidean,5,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.5416666666666666,0.5375,0.525,0.5583333333333333,0.5625,0.5449999999999999,0.01379412113103904,387
0.0003841400146484375,0.00018462820730218418,0.0014520645141601562,0.0004839901994599427,auto,euclidean,5,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.5583333333333333,0.5875,0.5416666666666666,0.5791666666666667,0.575,0.5683333333333334,0.016372402253657103,146
0.0007121086120605469,0.0003487649170694146,0.005675506591796875,0.0019107780763036872,auto,euclidean,5,2,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.5416666666666666,0.5375,0.525,0.5583333333333333,0.5625,0.5449999999999999,0.01379412113103904,387
0.00044960975646972655,0.00028475225930902763,0.0012426376342773438,0.0002897269008496228,auto,euclidean,5,2,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.5583333333333333,0.5875,0.5416666666666666,0.5791666666666667,0.575,0.5683333333333334,0.016372402253657103,146
0.00047883987426757815,0.00015320886973073763,0.005261659622192383,0.0015824637587679904,auto,euclidean,7,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.5291666666666667,0.5458333333333333,0.5375,0.5125,0.5833333333333334,0.5416666666666667,0.023570226039551605,439
0.0005621910095214844,0.00018130054841395982,0.002029228210449219,0.0007950837797560443,auto,euclidean,7,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.5541666666666667,0.5666666666666667,0.5541666666666667,0.5625,0.5833333333333334,0.5641666666666667,0.010736748938937606,186
0.00035729408264160154,0.00015810424586707323,0.004307842254638672,0.0011478568794362498,auto,euclidean,7,2,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.5291666666666667,0.5458333333333333,0.5375,0.5125,0.5833333333333334,0.5416666666666667,0.023570226039551605,439
0.0003949642181396484,0.0001868238371181235,0.0017516136169433594,0.0005769780332168998,auto,euclidean,7,2,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.5541666666666667,0.5666666666666667,0.5541666666666667,0.5625,0.5833333333333334,0.5641666666666667,0.010736748938937606,186
0.00039992332458496096,0.00020068385065890665,0.004784488677978515,0.002170353974331864,auto,euclidean,9,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.5416666666666666,0.5333333333333333,0.5291666666666667,0.5166666666666667,0.5666666666666667,0.5375,0.016666666666666646,472
0.0004427909851074219,0.00018655210380503045,0.002425384521484375,0.0010759343261558208,auto,euclidean,9,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.5625,0.5375,0.55,0.5583333333333333,0.5916666666666667,0.56,0.017989194287435756,210
0.00043435096740722655,0.0002100520669136731,0.005157995223999024,0.0023466194575993086,auto,euclidean,9,2,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.5416666666666666,0.5333333333333333,0.5291666666666667,0.5166666666666667,0.5666666666666667,0.5375,0.016666666666666646,472
0.0006747245788574219,0.0004197962062691314,0.002427816390991211,0.0010144886649605784,auto,euclidean,9,2,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.5625,0.5375,0.55,0.5583333333333333,0.5916666666666667,0.56,0.017989194287435756,210
