taxon_id,feature_type,n_significant_diseases,significant_diseases,score,disease,auc_effect,effect_direction,p_value
367282,shared,4.0,"D015212,D009765,D003924,D015179",1.2175853333333335,,,,
28137,shared,4.0,"D015212,D009765,D003924,D015179",1.207684,,,,
2724,shared,4.0,"D015212,D009765,D003924,D015179",1.2042355555555555,,,,
167,shared,4.0,"D015212,D009765,D003924,D015179",1.2014844444444444,,,,
850,shared,4.0,"D015212,D009765,D003924,D015179",1.2011226666666666,,,,
33970,shared,4.0,"D015212,D009765,D003924,D015179",1.193049111111111,,,,
550,shared,4.0,"D015212,D009765,D003924,D015179",1.1904084444444445,,,,
413889,shared,4.0,"D015212,D009765,D003924,D015179",1.1854362222222221,,,,
89014,shared,4.0,"D015212,D009765,D003924,D015179",1.1824697777777777,,,,
749535,shared,4.0,"D015212,D009765,D003924,D015179",1.1789584444444445,,,,
301301,shared,4.0,"D015212,D009765,D003924,D015179",1.163651777777778,,,,
179995,shared,4.0,"D015212,D009765,D003924,D015179",1.1585044444444446,,,,
1502,shared,4.0,"D015212,D009765,D003924,D015179",1.1568093333333334,,,,
469592,shared,4.0,"D015212,D009765,D003924,D015179",1.1567746666666667,,,,
457412,shared,4.0,"D015212,D009765,D003924,D015179",1.1564957777777778,,,,
78345,shared,4.0,"D015212,D009765,D003924,D015179",1.1527224444444444,,,,
626930,shared,4.0,"D015212,D009765,D003924,D015179",1.1399466666666667,,,,
47770,shared,4.0,"D015212,D009765,D003924,D015179",1.1398557777777776,,,,
1118060,shared,4.0,"D015212,D009765,D003924,D015179",1.1325915555555555,,,,
487175,shared,4.0,"D015212,D009765,D003924,D015179",1.1282953333333334,,,,
1747,shared,4.0,"D015212,D009765,D003924,D015179",1.1265239999999999,,,,
39491,shared,4.0,"D015212,D009765,D003924,D015179",1.1261257777777778,,,,
46228,shared,4.0,"D015212,D009765,D003924,D015179",1.1206902222222221,,,,
328814,shared,4.0,"D015212,D009765,D003924,D015179",1.1199595555555555,,,,
29466,shared,4.0,"D015212,D009765,D003924,D015179",1.1186277777777778,,,,
28126,shared,4.0,"D015212,D009765,D003924,D015179",1.1124017777777777,,,,
633701,shared,4.0,"D015212,D009765,D003924,D015179",1.111037111111111,,,,
197614,shared,4.0,"D015212,D009765,D003924,D015179",1.1041557777777777,,,,
1211813,shared,4.0,"D015212,D009765,D003924,D015179",1.1034391111111113,,,,
40519,shared,4.0,"D015212,D009765,D003924,D015179",1.1024015555555555,,,,
218538,shared,4.0,"D015212,D009765,D003924,D015179",1.1016206666666668,,,,
28117,shared,4.0,"D015212,D009765,D003924,D015179",1.0973533333333334,,,,
820,shared,4.0,"D015212,D009765,D003924,D015179",1.0950133333333334,,,,
37915,shared,4.0,"D015212,D009765,D003924,D015179",1.0907273333333332,,,,
1297750,shared,4.0,"D015212,D009765,D003924,D015179",1.089572888888889,,,,
1270,shared,4.0,"D015212,D009765,D003924,D015179",1.0890357777777777,,,,
146939,shared,4.0,"D015212,D009765,D003924,D015179",1.088214,,,,
53345,shared,4.0,"D015212,D009765,D003924,D015179",1.0864500000000001,,,,
1630,shared,4.0,"D015212,D009765,D003924,D015179",1.086198,,,,
39485,shared,4.0,"D015212,D009765,D003924,D015179",1.0854117777777779,,,,
351091,shared,4.0,"D015212,D009765,D003924,D015179",1.0819413333333334,,,,
1685,shared,4.0,"D015212,D009765,D003924,D015179",1.0815242222222223,,,,
861,shared,4.0,"D015212,D009765,D003924,D015179",1.0813666666666666,,,,
397865,shared,4.0,"D015212,D009765,D003924,D015179",1.0751915555555556,,,,
544645,shared,4.0,"D015212,D009765,D003924,D015179",1.073743111111111,,,,
2111,specific_D015212,,,,D015212,0.22316666666666674,increased,3.72461240770321e-26
1691891,specific_D015212,,,,D015212,0.21653333333333347,increased,1.016738493373436e-24
322095,specific_D015212,,,,D015212,0.2096,increased,2.9026953325894044e-23
158847,specific_D015212,,,,D015212,0.20252666666666652,increased,7.941505869091535e-22
34059,specific_D015212,,,,D015212,0.19621333333333335,increased,1.386031127507249e-20
1095771,specific_D015212,,,,D015212,0.19530666666666674,increased,2.074719410113653e-20
89524,specific_D015212,,,,D015212,0.19191333333333338,increased,9.238009691055722e-20
1282,specific_D015212,,,,D015212,0.17431333333333343,increased,1.417654685936553e-16
28131,specific_D015212,,,,D015212,0.17388000000000003,increased,1.6836381478551692e-16
228603,specific_D015212,,,,D015212,0.17271333333333327,increased,2.669360438443383e-16
371601,specific_D015212,,,,D015212,0.1643,increased,6.777345274994933e-15
166486,specific_D015212,,,,D015212,0.0833066666666667,decreased,7.844074842218764e-05
1680,specific_D003924,,,,D003924,0.20943199999999995,increased,7.985302956997242e-21
329854,specific_D003924,,,,D003924,0.18557599999999996,increased,1.0979413025343764e-16
552396,specific_D003924,,,,D003924,0.1844079999999999,increased,1.7008771074732004e-16
1351,specific_D003924,,,,D003924,0.1807439999999999,increased,6.598130951048506e-16
457415,specific_D003924,,,,D003924,0.16701599999999994,increased,8.380206576305856e-14
204516,specific_D003924,,,,D003924,0.07205599999999995,decreased,0.001280582378813488
28135,specific_D003924,,,,D003924,0.067056,decreased,0.002727954058478649
742723,specific_D003924,,,,D003924,0.063336,decreased,0.00464628764652388
1254,specific_D003924,,,,D003924,0.059840000000000004,decreased,0.007487563560870615
28124,specific_D015179,,,,D015179,0.12693333333333334,increased,4.3057856758185787e-07
411489,specific_D015179,,,,D015179,0.10085555555555559,increased,5.909116531994464e-05
1584,specific_D015179,,,,D015179,0.09704444444444449,increased,0.00011125334558505383
97478,specific_D015179,,,,D015179,0.09228888888888886,increased,0.00023760990335644245
1226325,specific_D015179,,,,D015179,0.08151111111111109,increased,0.0011701850074496267
88431,specific_D015179,,,,D015179,0.0801222222222222,increased,0.0014190931585610553
83771,specific_D015179,,,,D015179,0.0759777777777777,increased,0.0024806375579034846
426421,specific_D015179,,,,D015179,0.07552222222222227,increased,0.0026336143979388956
1686,specific_D015179,,,,D015179,0.07102222222222221,increased,0.004678916681697104
37734,specific_D015179,,,,D015179,0.06957777777777774,increased,0.005591471197544597
437898,specific_D015179,,,,D015179,0.06791111111111114,increased,0.006841730721925782
