taxon_id,n_significant_diseases,significant_diseases,avg_auc_effect,max_auc_effect,score
1226323,3,"['D015212', 'D009765', 'D003924']",0.13532733333333333,0.18279,0.40598199999999995
305,3,"['D015212', 'D009765', 'D003924']",0.13529755555555556,0.16188999999999998,0.4058926666666667
469586,3,"['D015212', 'D009765', 'D003924']",0.13519755555555554,0.160296,0.4055926666666666
281920,3,"['D015212', 'D009765', 'D003924']",0.13414911111111105,0.1898899999999999,0.40244733333333316
437897,3,"['D015212', 'D009765', 'D003924']",0.13345644444444446,0.15183999999999997,0.40036933333333335
1604,3,"['D015212', 'D009765', 'D003924']",0.13270355555555557,0.151984,0.3981106666666667
165179,3,"['D015212', 'D009765', 'D003924']",0.13192222222222216,0.13804666666666665,0.3957666666666665
817,3,"['D015212', 'D009765', 'D003924']",0.13157777777777777,0.13891999999999993,0.39473333333333327
762210,3,"['D015212', 'D009765', 'D003924']",0.13149155555555556,0.16149999999999998,0.39447466666666664
1681,3,"['D015212', 'D009765', 'D003924']",0.13051399999999994,0.13796999999999993,0.39154199999999983
457394,3,"['D015212', 'D009765', 'D003924']",0.13026911111111114,0.142544,0.3908073333333334
51664,3,"['D015212', 'D009765', 'D003924']",0.12944733333333336,0.15063000000000004,0.3883420000000001
674529,3,"['D015212', 'D009765', 'D003924']",0.12869711111111112,0.14371,0.38609133333333334
907,3,"['D015212', 'D009765', 'D003924']",0.12672955555555554,0.15169,0.3801886666666666
55206,3,"['D015212', 'D009765', 'D003924']",0.12519488888888888,0.15430999999999995,0.3755846666666667
39488,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.09254461111111115,0.10963,0.3701784444444446
38304,3,"['D015212', 'D009765', 'D003924']",0.12132422222222221,0.15166999999999997,0.3639726666666666
411484,3,"['D015212', 'D009765', 'D003924']",0.11918466666666656,0.13570399999999994,0.3575539999999997
308994,3,"['D015212', 'D009765', 'D003924']",0.11862155555555554,0.1257866666666667,0.3558646666666666
571,3,"['D015212', 'D009765', 'D003924']",0.11821777777777775,0.13075333333333328,0.35465333333333326
658081,3,"['D015212', 'D009765', 'D003924']",0.1164182222222222,0.14646000000000003,0.3492546666666666
823,3,"['D015212', 'D009765', 'D003924']",0.11237355555555557,0.13457000000000008,0.33712066666666674
40545,3,"['D015212', 'D009765', 'D003924']",0.10758399999999997,0.1312199999999999,0.32275199999999993
208479,3,"['D015212', 'D009765', 'D003924']",0.10735622222222219,0.12583199999999994,0.32206866666666656
1755626,3,"['D015212', 'D009765', 'D003924']",0.10581555555555555,0.13929999999999998,0.31744666666666665
46506,3,"['D015212', 'D009765', 'D003924']",0.10500511111111106,0.12239,0.3150153333333332
626933,3,"['D015212', 'D009765', 'D003924']",0.101078,0.12836999999999998,0.303234
1147129,3,"['D015212', 'D009765', 'D003924']",0.10101133333333334,0.15009000000000006,0.303034
665956,3,"['D015212', 'D003924', 'D015179']",0.1002176296296296,0.14894399999999997,0.3006528888888888
384638,3,"['D015212', 'D009765', 'D003924']",0.09770088888888888,0.10546666666666671,0.2931026666666666
1583,3,"['D015212', 'D009765', 'D003924']",0.09234488888888888,0.09956799999999999,0.27703466666666665
818,3,"['D015212', 'D003924', 'D015179']",0.06921822222222222,0.070888,0.20765466666666665
357276,3,"['D015212', 'D003924', 'D015179']",0.06701911111111113,0.07133333333333336,0.20105733333333337
487174,3,"['D015212', 'D003924', 'D015179']",0.06680696296296297,0.076992,0.20042088888888893
