taxon_id,n_significant_diseases,significant_diseases,avg_auc_effect,max_auc_effect,score
367282,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.3043963333333334,0.32689333333333337,1.2175853333333335
28137,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.301921,0.32914,1.207684
2724,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.3010588888888889,0.34219333333333335,1.2042355555555555
167,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.3003711111111111,0.32228666666666667,1.2014844444444444
850,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.30028066666666664,0.3219066666666667,1.2011226666666666
33970,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.29826227777777775,0.32884,1.193049111111111
550,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2976021111111111,0.33292,1.1904084444444445
413889,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.29635905555555553,0.32360666666666665,1.1854362222222221
89014,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.29561744444444443,0.332832,1.1824697777777777
749535,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.29473961111111113,0.32481333333333334,1.1789584444444445
301301,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2909129444444445,0.30610666666666664,1.163651777777778
179995,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28962611111111114,0.32932666666666666,1.1585044444444446
1502,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28920233333333334,0.3291533333333333,1.1568093333333334
469592,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2891936666666667,0.313968,1.1567746666666667
457412,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28912394444444445,0.3321866666666667,1.1564957777777778
78345,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2881806111111111,0.31708666666666663,1.1527224444444444
626930,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28498666666666667,0.32272,1.1399466666666667
47770,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2849639444444444,0.312888,1.1398557777777776
1118060,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28314788888888887,0.307256,1.1325915555555555
487175,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28207383333333336,0.30898000000000003,1.1282953333333334
1747,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28163099999999996,0.31874399999999997,1.1265239999999999
39491,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28153144444444445,0.31168666666666667,1.1261257777777778
46228,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.28017255555555554,0.3062,1.1206902222222221
328814,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27998988888888887,0.302824,1.1199595555555555
29466,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27965694444444444,0.3041933333333333,1.1186277777777778
28126,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27810044444444443,0.310944,1.1124017777777777
633701,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27775927777777776,0.31772,1.111037111111111
197614,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27603894444444443,0.2943266666666667,1.1041557777777777
1211813,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2758597777777778,0.299408,1.1034391111111113
40519,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2756003888888889,0.30537333333333333,1.1024015555555555
218538,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2754051666666667,0.295944,1.1016206666666668
28117,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27433833333333335,0.30284,1.0973533333333334
820,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27375333333333335,0.3178533333333333,1.0950133333333334
37915,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2726818333333333,0.3033733333333333,1.0907273333333332
1297750,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27239322222222223,0.29522400000000004,1.089572888888889
1270,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27225894444444443,0.291288,1.0890357777777777
146939,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2720535,0.29944666666666664,1.088214
53345,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27161250000000003,0.30018666666666666,1.0864500000000001
1630,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2715495,0.28476799999999997,1.086198
39485,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27135294444444447,0.2968,1.0854117777777779
351091,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27048533333333336,0.307528,1.0819413333333334
1685,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2703810555555556,0.30096,1.0815242222222223
861,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.27034166666666665,0.30404,1.0813666666666666
397865,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2687978888888889,0.2855666666666667,1.0751915555555556
544645,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2684357777777778,0.30824666666666667,1.073743111111111
239935,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.2678663333333333,0.294192,1.0714653333333333
582,4,"['D015212', 'D009765', 'D003924', 'D015179']",0.265079,0.303176,1.060316
