taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
167,D015212,1.0742153041942055e-52,0.17771333333333333,0.32228666666666667,0.0047748536814698,0.0010623366280098896,decreased,500,300
292,D015212,4.4604866319250245e-21,0.69874,0.19874000000000003,0.0047220513270024396,0.010679422706625802,increased,500,300
305,D015212,5.634370652490939e-08,0.6145466666666667,0.11454666666666669,0.0045135913490400624,0.007314886810755743,increased,500,300
548,D015212,1.983632501360114e-05,0.4099933333333333,0.09000666666666668,0.004746195632717727,0.003555558118549413,decreased,500,300
550,D015212,4.143783680133298e-56,0.16708,0.33292,0.004749685319801932,0.000995649813716847,decreased,500,300
562,D015212,0.0006796934024059554,0.42832666666666663,0.07167333333333337,0.004435675141374146,0.0033986651533055127,decreased,500,300
571,D015212,5.707538569375768e-10,0.6307533333333333,0.13075333333333328,0.004963456418890866,0.008107290372431122,increased,500,300
573,D015212,5.916585381032708e-05,0.41528,0.08472000000000002,0.004732499953857382,0.003608242651580104,decreased,500,300
582,D015212,1.3946755376319073e-43,0.20797333333333334,0.29202666666666666,0.004473650433630446,0.0011482174077660212,decreased,500,300
584,D015212,0.00013681644330616128,0.4195466666666666,0.08045333333333338,0.004578526905453109,0.003426454761271302,decreased,500,300
817,D015212,9.824111128961917e-09,0.6209533333333334,0.12095333333333336,0.004526491652060327,0.007949892686842869,increased,500,300
818,D015212,0.0012455024501737426,0.4319,0.0681,0.004605130475478246,0.0035885942221530144,decreased,500,300
820,D015212,2.6417755789265354e-51,0.18214666666666668,0.3178533333333333,0.004491984812504467,0.0010584748801440152,decreased,500,300
821,D015212,4.911276469466237e-21,0.6985266666666666,0.19852666666666663,0.004450661675020868,0.011207009030250558,increased,500,300
823,D015212,1.8062761227827112e-05,0.5904466666666667,0.09044666666666668,0.004813794636184261,0.007056319000959027,increased,500,300
849,D015212,0.0009200643962756725,0.4300933333333333,0.06990666666666667,0.004818299606660471,0.00352656523889901,decreased,500,300
850,D015212,1.4159619794123814e-52,0.17809333333333333,0.3219066666666667,0.0047704237031492135,0.0010833630679343003,decreased,500,300
851,D015212,0.005917684292898914,0.44194,0.05806,0.004879706558154652,0.003702882555392368,decreased,500,300
852,D015212,1.2492879880361676e-09,0.6281266666666667,0.12812666666666672,0.004374074974094275,0.007408094501479226,increased,500,300
853,D015212,0.008104094503938977,0.4441466666666667,0.05585333333333331,0.004903657770836454,0.0038383164523155887,decreased,500,300
861,D015212,3.960852087529966e-43,0.20955999999999997,0.29044000000000003,0.004547004294731307,0.0011076113104000593,decreased,500,300
905,D015212,0.13096463569564176,0.46814,0.03186,0.004372907236076861,0.004059331347474097,decreased,500,300
907,D015212,1.6187084166679184e-07,0.6105066666666666,0.11050666666666664,0.0045954202267093295,0.007392941490684473,increased,500,300
1254,D015212,0.02096570988854152,0.45130000000000003,0.048699999999999966,0.004461171325556389,0.003710106253364318,decreased,500,300
1270,D015212,1.9427023299982378e-40,0.21916,0.28084,0.004671174957789479,0.0011855317499429767,decreased,500,300
1282,D015212,1.417654685936553e-16,0.6743133333333334,0.17431333333333343,0.004294530986620744,0.009962729264857372,increased,500,300
1304,D015212,4.077298537091191e-11,0.6392533333333335,0.13925333333333345,0.0044795014926816935,0.007638715868363154,increased,500,300
1308,D015212,0.0004740987280844452,0.42627333333333334,0.07372666666666666,0.004639544172547949,0.003423164640937819,decreased,500,300
1318,D015212,3.0342130998956435e-36,0.23480666666666666,0.26519333333333334,0.004215946348464622,0.0011577986418724073,decreased,500,300
1351,D015212,0.01595045969053613,0.44915999999999995,0.05084000000000005,0.004541062808321212,0.0035999561988209134,decreased,500,300
1352,D015212,1.510159295106289e-13,0.6558133333333334,0.15581333333333336,0.004406350394364636,0.008109088514826229,increased,500,300
