mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.025008630752563477,0.0037921989369306885,0.007386970520019531,0.0008750379095081932,0.01,2,scale,linear,"{'C': 0.01, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.0516392707824707,0.004873435355631898,0.014413547515869141,0.004228590936019708,0.01,2,scale,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.5583333333333333,0.5708333333333333,0.5416666666666666,0.6041666666666666,0.575,0.57,0.020649186155606437,186
0.046115970611572264,0.007383016488325617,0.007909202575683593,0.0041301322579217654,0.01,2,scale,poly,"{'C': 0.01, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.4,0.37916666666666665,0.29583333333333334,0.37083333333333335,0.37083333333333335,0.36333333333333334,0.0353946009693255,222
0.023467826843261718,0.006386327393372836,0.006383514404296875,0.00212673526453925,0.01,2,auto,linear,"{'C': 0.01, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.049744367599487305,0.005241782692922438,0.010720205307006837,0.0009930550073094313,0.01,2,auto,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.5541666666666667,0.5708333333333333,0.5416666666666666,0.6041666666666666,0.575,0.5691666666666666,0.02118044171189805,189
0.041930770874023436,0.005045358036795839,0.008308982849121094,0.00197070680653039,0.01,2,auto,poly,"{'C': 0.01, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.4,0.37916666666666665,0.29583333333333334,0.37083333333333335,0.37083333333333335,0.36333333333333334,0.0353946009693255,222
0.019334983825683594,0.0015696702224694164,0.0054400920867919925,0.0021221799729846044,0.01,2,0.001,linear,"{'C': 0.01, 'degree': 2, 'gamma': 0.001, 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.04859380722045899,0.00906533452755071,0.012229585647583007,0.003038922885292786,0.01,2,0.001,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 0.001, 'kernel': 'rbf'}",0.5541666666666667,0.5333333333333333,0.5375,0.5791666666666667,0.5541666666666667,0.5516666666666666,0.016158932858054455,200
0.04094676971435547,0.003828714792822026,0.006365442276000976,0.0016394746038835368,0.01,2,0.001,poly,"{'C': 0.01, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.4,0.37916666666666665,0.29583333333333334,0.37083333333333335,0.37083333333333335,0.36333333333333334,0.0353946009693255,222
0.022938346862792967,0.0031477978652260396,0.00584564208984375,0.0018643679485432834,0.01,2,0.01,linear,"{'C': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
0.051220035552978514,0.006167744550065113,0.016129446029663087,0.003511966856936881,0.01,2,0.01,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}",0.5708333333333333,0.5708333333333333,0.5375,0.5875,0.5958333333333333,0.5725,0.020000000000000007,182
0.038511466979980466,0.005244343158219984,0.0056383609771728516,0.0011223540670737726,0.01,2,0.01,poly,"{'C': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.4,0.37916666666666665,0.29583333333333334,0.37083333333333335,0.37083333333333335,0.36333333333333334,0.0353946009693255,222
0.01953301429748535,0.0013548346711667514,0.005254602432250977,0.002055545828605962,0.01,2,0.1,linear,"{'C': 0.01, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",0.5958333333333333,0.5958333333333333,0.5583333333333333,0.6166666666666667,0.6083333333333333,0.595,0.019965247584518224,126
