taxon_id,disease,p_value,auc_effect,effect_direction
1680,D003924,7.985302956997242e-21,0.20943199999999995,increased
329854,D003924,1.0979413025343764e-16,0.18557599999999996,increased
552396,D003924,1.7008771074732004e-16,0.1844079999999999,increased
1351,D003924,6.598130951048506e-16,0.1807439999999999,increased
457415,D003924,8.380206576305856e-14,0.16701599999999994,increased
204516,D003924,0.001280582378813488,0.07205599999999995,decreased
28135,D003924,0.002727954058478649,0.067056,decreased
742723,D003924,0.00464628764652388,0.063336,decreased
1254,D003924,0.007487563560870615,0.059840000000000004,decreased
